date,country,imports
2018-03-01,Canada,846.399853
2018-04-01,Canada,793.47093
2018-05-01,Canada,783.992533
2018-06-01,Canada,769.689171
2018-07-01,Canada,633.144884
2018-08-01,Canada,848.702892
2018-09-01,Canada,777.005309
2018-10-01,Canada,898.618695
2018-11-01,Canada,779.866239
2018-12-01,Canada,654.211676
2019-01-01,Canada,789.741551
2019-02-01,Canada,764.601709
2019-03-01,Canada,826.892804
2019-04-01,Canada,772.454342
2019-05-01,Canada,798.67311
2019-06-01,Canada,772.887238
2019-07-01,Canada,707.960469
2019-08-01,Canada,828.819339
2019-09-01,Canada,744.931532
2019-10-01,Canada,707.322114
2019-11-01,Canada,758.52847
2019-12-01,Canada,633.134121
2020-01-01,Canada,772.649811
2020-02-01,Canada,787.232393
2020-03-01,Canada,594.26575
2020-04-01,Canada,63.204727
2020-05-01,Canada,177.055458
2020-06-01,Canada,639.261196
2020-07-01,Canada,721.053587
2020-08-01,Canada,790.761912
2020-09-01,Canada,804.639885
2020-10-01,Canada,828.365976
2020-11-01,Canada,749.769827
2020-12-01,Canada,704.675272
2021-01-01,Canada,770.163272
2021-02-01,Canada,742.595315
2021-03-01,Canada,899.014015
2021-04-01,Canada,679.9304
2021-05-01,Canada,660.080809
2021-06-01,Canada,777.537945
2021-07-01,Canada,680.639231
2021-08-01,Canada,830.286277
2021-09-01,Canada,739.085385
2021-10-01,Canada,825.589948
2021-11-01,Canada,842.091041
2021-12-01,Canada,731.967717
2022-01-01,Canada,807.409378
2022-02-01,Canada,782.908672
2022-03-01,Canada,1029.993852
2022-04-01,Canada,842.43465
2022-05-01,Canada,925.164234
2022-06-01,Canada,913.498895
2022-07-01,Canada,805.278123
2022-08-01,Canada,983.306242
2022-09-01,Canada,943.32821
2022-10-01,Canada,952.891862
2022-11-01,Canada,738.453275
2022-12-01,Canada,956.960891
2023-01-01,Canada,943.165216
2023-02-01,Canada,897.073613
2023-03-01,Canada,999.15414
2023-04-01,Canada,887.923452
2023-05-01,Canada,1033.077624
2023-06-01,Canada,979.134874
2023-07-01,Canada,867.201389
2023-08-01,Canada,1078.748739
2023-09-01,Canada,936.995938
2023-10-01,Canada,889.456496
2023-11-01,Canada,936.84043
2023-12-01,Canada,794.243028
2024-01-01,Canada,983.709876
2024-02-01,Canada,1022.465026
2024-03-01,Canada,1010.952386
2024-04-01,Canada,1053.820837
2024-05-01,Canada,1041.076523
2024-06-01,Canada,938.494488
2024-07-01,Canada,806.347493
2024-08-01,Canada,980.131788
2024-09-01,Canada,927.914047
2024-10-01,Canada,951.946059
2024-11-01,Canada,875.027007
2024-12-01,Canada,728.732754
2025-01-01,Canada,812.633635
2025-02-01,Canada,880.122311
2025-03-01,Canada,961.196417
2025-04-01,Canada,884.404164
2025-05-01,Canada,911.415813
2025-06-01,Canada,893.386064
2025-07-01,Canada,876.184778
2025-08-01,Canada,959.324292
2015-01-01,China,800.382235
2015-02-01,China,654.554298
2015-03-01,China,907.607696
2015-04-01,China,801.9993
2015-05-01,China,828.31142
2015-06-01,China,836.671711
2015-07-01,China,796.404114
2015-08-01,China,825.796897
2015-09-01,China,750.345687
2015-10-01,China,717.035963
2015-11-01,China,694.332855
2015-12-01,China,693.985254
2016-01-01,China,800.336637
2016-02-01,China,792.761549
2016-03-01,China,671.861118
2016-04-01,China,765.011678
2016-05-01,China,821.822821
2016-06-01,China,786.158199
2016-07-01,China,785.596665
2016-08-01,China,823.546658
2016-09-01,China,708.215929
2016-10-01,China,723.515051
2016-11-01,China,703.592747
2016-12-01,China,701.415298
2017-01-01,China,809.774383
2017-02-01,China,707.774404
2017-03-01,China,719.746909
2017-04-01,China,752.524416
2017-05-01,China,852.313722
2017-06-01,China,838.095827
2017-07-01,China,813.125907
2017-08-01,China,833.720235
2017-09-01,China,744.718192
2017-10-01,China,750.792747
2017-11-01,China,770.077287
2017-12-01,China,810.455766
2018-01-01,China,904.388772
2018-02-01,China,841.889599
2018-03-01,China,860.697199
2018-04-01,China,865.428113
2018-05-01,China,964.084759
2018-06-01,China,904.778712
2018-07-01,China,910.278816
2018-08-01,China,940.424205
2018-09-01,China,860.931209
2018-10-01,China,957.287018
2018-11-01,China,901.007286
2018-12-01,China,1060.463586
2019-01-01,China,910.590454
2019-02-01,China,737.495396
2019-03-01,China,709.550092
2019-04-01,China,782.358649
2019-05-01,China,855.492127
2019-06-01,China,677.61191
