date,country,imports,industry
2017-03-01,China,123.890607,Appliances
2017-04-01,China,149.384353,Appliances
2017-05-01,China,187.361757,Appliances
2017-06-01,China,205.901539,Appliances
2017-07-01,China,188.701707,Appliances
2017-08-01,China,172.089537,Appliances
2017-09-01,China,179.079754,Appliances
2017-10-01,China,184.247513,Appliances
2017-11-01,China,170.436943,Appliances
2017-12-01,China,171.221706,Appliances
2018-01-01,China,162.78316,Appliances
2018-02-01,China,136.776701,Appliances
2018-03-01,China,142.753648,Appliances
2018-04-01,China,167.428159,Appliances
2018-05-01,China,210.169655,Appliances
2018-06-01,China,237.79754,Appliances
2018-07-01,China,238.371295,Appliances
2018-08-01,China,230.707424,Appliances
2018-09-01,China,217.877587,Appliances
2018-10-01,China,227.441639,Appliances
2018-11-01,China,193.191124,Appliances
2018-12-01,China,204.728483,Appliances
2019-01-01,China,127.368234,Appliances
2019-02-01,China,98.600376,Appliances
2019-03-01,China,113.929207,Appliances
2019-04-01,China,131.631909,Appliances
2019-05-01,China,177.916823,Appliances
2019-06-01,China,173.443007,Appliances
2019-07-01,China,179.114277,Appliances
2019-08-01,China,159.949447,Appliances
2019-09-01,China,178.947156,Appliances
2019-10-01,China,156.018079,Appliances
2019-11-01,China,144.784924,Appliances
2019-12-01,China,142.278272,Appliances
2020-01-01,China,149.043599,Appliances
2020-02-01,China,107.984334,Appliances
2020-03-01,China,75.639354,Appliances
2020-04-01,China,145.299647,Appliances
2020-05-01,China,197.003169,Appliances
2020-06-01,China,234.777986,Appliances
2020-07-01,China,259.900758,Appliances
2020-08-01,China,259.425252,Appliances
2020-09-01,China,270.614337,Appliances
2020-10-01,China,290.284435,Appliances
2020-11-01,China,293.956887,Appliances
2020-12-01,China,303.259424,Appliances
2021-01-01,China,304.448263,Appliances
2021-02-01,China,227.684489,Appliances
2021-03-01,China,258.544044,Appliances
2021-04-01,China,246.748516,Appliances
2021-05-01,China,253.900224,Appliances
2021-06-01,China,236.252363,Appliances
2021-07-01,China,216.121156,Appliances
2021-08-01,China,256.895351,Appliances
2021-09-01,China,236.105982,Appliances
2021-10-01,China,268.812139,Appliances
2021-11-01,China,274.888218,Appliances
2021-12-01,China,262.86643,Appliances
2022-01-01,China,284.39617,Appliances
2022-02-01,China,241.909782,Appliances
2022-03-01,China,268.364241,Appliances
2022-04-01,China,306.10972,Appliances
2022-05-01,China,306.211064,Appliances
2022-06-01,China,262.088023,Appliances
2022-07-01,China,255.176037,Appliances
2022-08-01,China,252.09858,Appliances
2022-09-01,China,213.814628,Appliances
2022-10-01,China,198.880974,Appliances
2022-11-01,China,155.159438,Appliances
2022-12-01,China,156.31142,Appliances
2023-01-01,China,160.772409,Appliances
2023-02-01,China,140.306729,Appliances
2023-03-01,China,138.983142,Appliances
2023-04-01,China,176.550639,Appliances
2023-05-01,China,184.127027,Appliances
2023-06-01,China,183.979306,Appliances
2023-07-01,China,177.99741,Appliances
2023-08-01,China,184.886572,Appliances
2023-09-01,China,207.17136,Appliances
2023-10-01,China,235.828018,Appliances
2023-11-01,China,213.309857,Appliances
2023-12-01,China,209.581973,Appliances
2024-01-01,China,219.48545,Appliances
2024-02-01,China,191.794899,Appliances
2024-03-01,China,164.80102,Appliances
2024-04-01,China,178.561439,Appliances
2024-05-01,China,208.34332,Appliances
2024-06-01,China,203.930265,Appliances
2024-07-01,China,238.465985,Appliances
2024-08-01,China,248.160362,Appliances
2024-09-01,China,242.573046,Appliances
2024-10-01,China,244.383569,Appliances
2024-11-01,China,227.677334,Appliances
2024-12-01,China,227.097385,Appliances
2025-01-01,China,233.744609,Appliances
2025-02-01,China,222.504014,Appliances
2025-03-01,China,186.703769,Appliances
2025-04-01,China,210.616412,Appliances
2025-05-01,China,148.600359,Appliances
2025-06-01,China,89.839076,Appliances
2025-07-01,China,190.087701,Appliances
2025-08-01,China,182.567665,Appliances
2015-01-01,Mexico,268.937211,Appliances
2015-02-01,Mexico,254.506354,Appliances
2015-03-01,Mexico,314.179565,Appliances
2015-04-01,Mexico,333.328743,Appliances
2015-05-01,Mexico,380.101263,Appliances
2015-06-01,Mexico,397.901208,Appliances
2015-07-01,Mexico,420.982204,Appliances
2015-08-01,Mexico,381.31688,Appliances
2015-09-01,Mexico,370.928317,Appliances
2015-10-01,Mexico,404.058661,Appliances
2015-11-01,Mexico,329.97139,Appliances
2015-12-01,Mexico,256.71506,Appliances
2016-01-01,Mexico,255.649012,Appliances
2016-02-01,Mexico,304.926713,Appliances
2016-03-01,Mexico,342.34104,Appliances
2016-04-01,Mexico,341.451769,Appliances
2016-05-01,Mexico,383.907737,Appliances
2016-06-01,Mexico,399.242994,Appliances
2016-07-01,Mexico,369.471873,Appliances
2016-08-01,Mexico,391.175279,Appliances
2016-09-01,Mexico,382.855436,Appliances
2016-10-01,Mexico,363.960593,Appliances
2016-11-01,Mexico,358.954929,Appliances
2016-12-01,Mexico,289.063926,Appliances
2017-01-01,Mexico,265.365555,Appliances
2017-02-01,Mexico,283.883059,Appliances
2017-03-01,Mexico,325.490961,Appliances
2017-04-01,Mexico,352.913707,Appliances
2017-05-01,Mexico,385.184485,Appliances
2017-06-01,Mexico,402.863792,Appliances
