Standard Report - Imports,,,
Current date: 11/21/2025 5:25 PM (Eastern Standard Time),,,
Measures: Customs Value (Gen) ($US),,,
Commodity,Country,Time,Customs Value (Gen) ($US)
8708 Parts & Access For Motor Vehicles (head 8701-8705),China,Sep-16,"708,215,929"
8708 Parts & Access For Motor Vehicles (head 8701-8705),China,Oct-16,"723,515,051"
8708 Parts & Access For Motor Vehicles (head 8701-8705),China,Nov-16,"703,592,747"
8708 Parts & Access For Motor Vehicles (head 8701-8705),China,Dec-16,"701,415,298"
8708 Parts & Access For Motor Vehicles (head 8701-8705),China,2017,"9,403,119,795"
8708 Parts & Access For Motor Vehicles (head 8701-8705),China,Jan-17,"809,774,383"
8708 Parts & Access For Motor Vehicles (head 8701-8705),China,Feb-17,"707,774,404"
8708 Parts & Access For Motor Vehicles (head 8701-8705),China,Mar-17,"719,746,909"
8708 Parts & Access For Motor Vehicles (head 8701-8705),China,Apr-17,"752,524,416"
8708 Parts & Access For Motor Vehicles (head 8701-8705),China,May-17,"852,313,722"
8708 Parts & Access For Motor Vehicles (head 8701-8705),China,Jun-17,"838,095,827"
8708 Parts & Access For Motor Vehicles (head 8701-8705),China,Jul-17,"813,125,907"
8708 Parts & Access For Motor Vehicles (head 8701-8705),China,Aug-17,"833,720,235"
8708 Parts & Access For Motor Vehicles (head 8701-8705),China,Sep-17,"744,718,192"
8708 Parts & Access For Motor Vehicles (head 8701-8705),China,Oct-17,"750,792,747"
8708 Parts & Access For Motor Vehicles (head 8701-8705),China,Nov-17,"770,077,287"
8708 Parts & Access For Motor Vehicles (head 8701-8705),China,Dec-17,"810,455,766"
8708 Parts & Access For Motor Vehicles (head 8701-8705),China,2018,"10,971,659,274"
8708 Parts & Access For Motor Vehicles (head 8701-8705),China,Jan-18,"904,388,772"
8708 Parts & Access For Motor Vehicles (head 8701-8705),China,Feb-18,"841,889,599"
8708 Parts & Access For Motor Vehicles (head 8701-8705),China,Mar-18,"860,697,199"
8708 Parts & Access For Motor Vehicles (head 8701-8705),China,Apr-18,"865,428,113"
8708 Parts & Access For Motor Vehicles (head 8701-8705),China,May-18,"964,084,759"
8708 Parts & Access For Motor Vehicles (head 8701-8705),China,Jun-18,"904,778,712"
8708 Parts & Access For Motor Vehicles (head 8701-8705),China,Jul-18,"910,278,816"
8708 Parts & Access For Motor Vehicles (head 8701-8705),China,Aug-18,"940,424,205"
8708 Parts & Access For Motor Vehicles (head 8701-8705),China,Sep-18,"860,931,209"
8708 Parts & Access For Motor Vehicles (head 8701-8705),China,Oct-18,"957,287,018"
8708 Parts & Access For Motor Vehicles (head 8701-8705),China,Nov-18,"901,007,286"
8708 Parts & Access For Motor Vehicles (head 8701-8705),China,Dec-18,"1,060,463,586"
8708 Parts & Access For Motor Vehicles (head 8701-8705),China,2019,"8,920,411,879"
8708 Parts & Access For Motor Vehicles (head 8701-8705),China,Jan-19,"910,590,454"
8708 Parts & Access For Motor Vehicles (head 8701-8705),China,Feb-19,"737,495,396"
8708 Parts & Access For Motor Vehicles (head 8701-8705),China,Mar-19,"709,550,092"
8708 Parts & Access For Motor Vehicles (head 8701-8705),China,Apr-19,"782,358,649"
8708 Parts & Access For Motor Vehicles (head 8701-8705),China,May-19,"855,492,127"
8708 Parts & Access For Motor Vehicles (head 8701-8705),China,Jun-19,"677,611,910"
8708 Parts & Access For Motor Vehicles (head 8701-8705),China,Jul-19,"780,579,653"
8708 Parts & Access For Motor Vehicles (head 8701-8705),China,Aug-19,"774,989,905"
8708 Parts & Access For Motor Vehicles (head 8701-8705),China,Sep-19,"733,805,811"
8708 Parts & Access For Motor Vehicles (head 8701-8705),China,Oct-19,"723,124,754"
8708 Parts & Access For Motor Vehicles (head 8701-8705),China,Nov-19,"599,946,578"
8708 Parts & Access For Motor Vehicles (head 8701-8705),China,Dec-19,"634,866,550"
8708 Parts & Access For Motor Vehicles (head 8701-8705),China,2020,"7,500,762,149"
8708 Parts & Access For Motor Vehicles (head 8701-8705),China,Jan-20,"729,718,450"
8708 Parts & Access For Motor Vehicles (head 8701-8705),China,Feb-20,"614,624,862"
8708 Parts & Access For Motor Vehicles (head 8701-8705),China,Mar-20,"477,646,418"
8708 Parts & Access For Motor Vehicles (head 8701-8705),China,Apr-20,"591,500,249"
8708 Parts & Access For Motor Vehicles (head 8701-8705),China,May-20,"516,801,473"
8708 Parts & Access For Motor Vehicles (head 8701-8705),China,Jun-20,"478,331,724"
8708 Parts & Access For Motor Vehicles (head 8701-8705),China,Jul-20,"597,035,437"
8708 Parts & Access For Motor Vehicles (head 8701-8705),China,Aug-20,"643,172,153"
8708 Parts & Access For Motor Vehicles (head 8701-8705),China,Sep-20,"658,508,594"
8708 Parts & Access For Motor Vehicles (head 8701-8705),China,Oct-20,"745,464,150"
8708 Parts & Access For Motor Vehicles (head 8701-8705),China,Nov-20,"708,389,387"
8708 Parts & Access For Motor Vehicles (head 8701-8705),China,Dec-20,"739,569,252"
8708 Parts & Access For Motor Vehicles (head 8701-8705),China,2021,"9,248,139,811"
8708 Parts & Access For Motor Vehicles (head 8701-8705),China,Jan-21,"737,585,438"
8708 Parts & Access For Motor Vehicles (head 8701-8705),China,Feb-21,"717,080,584"
8708 Parts & Access For Motor Vehicles (head 8701-8705),China,Mar-21,"874,030,253"
8708 Parts & Access For Motor Vehicles (head 8701-8705),China,Apr-21,"747,868,440"
8708 Parts & Access For Motor Vehicles (head 8701-8705),China,May-21,"747,340,000"
8708 Parts & Access For Motor Vehicles (head 8701-8705),China,Jun-21,"794,727,136"
8708 Parts & Access For Motor Vehicles (head 8701-8705),China,Jul-21,"769,282,582"
8708 Parts & Access For Motor Vehicles (head 8701-8705),China,Aug-21,"833,725,664"
8708 Parts & Access For Motor Vehicles (head 8701-8705),China,Sep-21,"781,104,210"
8708 Parts & Access For Motor Vehicles (head 8701-8705),China,Oct-21,"780,226,957"
8708 Parts & Access For Motor Vehicles (head 8701-8705),China,Nov-21,"735,807,082"
8708 Parts & Access For Motor Vehicles (head 8701-8705),China,Dec-21,"729,361,465"
8708 Parts & Access For Motor Vehicles (head 8701-8705),China,2022,"10,414,256,543"
8708 Parts & Access For Motor Vehicles (head 8701-8705),China,Jan-22,"842,794,398"
8708 Parts & Access For Motor Vehicles (head 8701-8705),China,Feb-22,"801,278,418"
8708 Parts & Access For Motor Vehicles (head 8701-8705),China,Mar-22,"886,923,089"
8708 Parts & Access For Motor Vehicles (head 8701-8705),China,Apr-22,"914,714,672"
8708 Parts & Access For Motor Vehicles (head 8701-8705),China,May-22,"883,113,138"
8708 Parts & Access For Motor Vehicles (head 8701-8705),China,Jun-22,"883,407,014"
8708 Parts & Access For Motor Vehicles (head 8701-8705),China,Jul-22,"895,747,423"
8708 Parts & Access For Motor Vehicles (head 8701-8705),China,Aug-22,"990,558,269"
8708 Parts & Access For Motor Vehicles (head 8701-8705),China,Sep-22,"902,818,860"
8708 Parts & Access For Motor Vehicles (head 8701-8705),China,Oct-22,"884,380,428"
8708 Parts & Access For Motor Vehicles (head 8701-8705),China,Nov-22,"796,308,080"
8708 Parts & Access For Motor Vehicles (head 8701-8705),China,Dec-22,"732,212,754"
8708 Parts & Access For Motor Vehicles (head 8701-8705),China,2023,"9,247,611,564"
8708 Parts & Access For Motor Vehicles (head 8701-8705),China,Jan-23,"799,579,890"
8708 Parts & Access For Motor Vehicles (head 8701-8705),China,Feb-23,"691,847,071"
8708 Parts & Access For Motor Vehicles (head 8701-8705),China,Mar-23,"684,934,250"
8708 Parts & Access For Motor Vehicles (head 8701-8705),China,Apr-23,"798,164,487"
8708 Parts & Access For Motor Vehicles (head 8701-8705),China,May-23,"816,355,108"
8708 Parts & Access For Motor Vehicles (head 8701-8705),China,Jun-23,"782,251,529"
8708 Parts & Access For Motor Vehicles (head 8701-8705),China,Jul-23,"761,402,235"
8708 Parts & Access For Motor Vehicles (head 8701-8705),China,Aug-23,"857,880,787"
8708 Parts & Access For Motor Vehicles (head 8701-8705),China,Sep-23,"811,466,540"
8708 Parts & Access For Motor Vehicles (head 8701-8705),China,Oct-23,"831,435,767"
8708 Parts & Access For Motor Vehicles (head 8701-8705),China,Nov-23,"702,324,138"
8708 Parts & Access For Motor Vehicles (head 8701-8705),China,Dec-23,"709,969,762"
8708 Parts & Access For Motor Vehicles (head 8701-8705),China,2024,"9,373,840,376"
8708 Parts & Access For Motor Vehicles (head 8701-8705),China,Jan-24,"819,298,024"
8708 Parts & Access For Motor Vehicles (head 8701-8705),China,Feb-24,"803,242,442"
8708 Parts & Access For Motor Vehicles (head 8701-8705),China,Mar-24,"780,970,166"
8708 Parts & Access For Motor Vehicles (head 8701-8705),China,Apr-24,"802,782,713"
8708 Parts & Access For Motor Vehicles (head 8701-8705),China,May-24,"782,162,644"
8708 Parts & Access For Motor Vehicles (head 8701-8705),China,Jun-24,"745,130,663"
8708 Parts & Access For Motor Vehicles (head 8701-8705),China,Jul-24,"828,751,534"
8708 Parts & Access For Motor Vehicles (head 8701-8705),China,Aug-24,"808,473,200"
8708 Parts & Access For Motor Vehicles (head 8701-8705),China,Sep-24,"786,370,208"
8708 Parts & Access For Motor Vehicles (head 8701-8705),China,Oct-24,"773,913,807"
8708 Parts & Access For Motor Vehicles (head 8701-8705),China,Nov-24,"694,239,287"
8708 Parts & Access For Motor Vehicles (head 8701-8705),China,Dec-24,"748,505,688"
8708 Parts & Access For Motor Vehicles (head 8701-8705),China,2025 through August,"5,836,773,591"
8708 Parts & Access For Motor Vehicles (head 8701-8705),China,Jan-25,"865,147,761"
8708 Parts & Access For Motor Vehicles (head 8701-8705),China,Feb-25,"742,256,271"
8708 Parts & Access For Motor Vehicles (head 8701-8705),China,Mar-25,"743,036,522"
8708 Parts & Access For Motor Vehicles (head 8701-8705),China,Apr-25,"743,486,748"
8708 Parts & Access For Motor Vehicles (head 8701-8705),China,May-25,"691,489,432"
8708 Parts & Access For Motor Vehicles (head 8701-8705),China,Jun-25,"598,311,491"
8708 Parts & Access For Motor Vehicles (head 8701-8705),China,Jul-25,"759,885,304"
8708 Parts & Access For Motor Vehicles (head 8701-8705),China,Aug-25,"693,160,062"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Mexico,2015,"21,440,875,658"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Mexico,Jan-15,"1,492,415,401"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Mexico,Feb-15,"1,626,601,667"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Mexico,Mar-15,"1,869,031,169"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Mexico,Apr-15,"1,790,337,947"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Mexico,May-15,"1,785,831,585"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Mexico,Jun-15,"2,021,137,099"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Mexico,Jul-15,"1,739,314,621"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Mexico,Aug-15,"1,850,312,543"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Mexico,Sep-15,"1,838,710,586"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Mexico,Oct-15,"2,018,642,719"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Mexico,Nov-15,"1,803,060,616"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Mexico,Dec-15,"1,605,479,705"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Mexico,2016,"22,398,152,572"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Mexico,Jan-16,"1,736,147,305"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Mexico,Feb-16,"1,853,809,382"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Mexico,Mar-16,"1,914,297,805"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Mexico,Apr-16,"1,967,967,432"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Mexico,May-16,"1,899,673,522"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Mexico,Jun-16,"1,883,917,947"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Mexico,Jul-16,"1,589,740,707"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Mexico,Aug-16,"2,034,028,792"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Mexico,Sep-16,"1,929,520,471"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Mexico,Oct-16,"2,006,603,636"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Mexico,Nov-16,"1,913,203,458"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Mexico,Dec-16,"1,669,242,115"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Mexico,2017,"22,598,496,485"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Mexico,Jan-17,"1,791,903,510"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Mexico,Feb-17,"1,821,456,938"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Mexico,Mar-17,"2,072,300,898"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Mexico,Apr-17,"1,899,180,180"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Mexico,May-17,"1,978,993,618"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Mexico,Jun-17,"1,902,028,697"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Mexico,Jul-17,"1,655,241,948"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Mexico,Aug-17,"1,983,757,535"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Mexico,Sep-17,"1,876,863,075"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Mexico,Oct-17,"2,073,295,546"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Mexico,Nov-17,"1,916,419,444"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Mexico,Dec-17,"1,627,055,096"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Mexico,2018,"24,381,507,245"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Mexico,Jan-18,"1,907,348,007"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Mexico,Feb-18,"1,943,601,350"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Mexico,Mar-18,"2,154,690,533"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Mexico,Apr-18,"2,097,691,932"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Mexico,May-18,"2,014,333,936"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Mexico,Jun-18,"1,932,445,486"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Mexico,Jul-18,"1,817,699,640"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Mexico,Aug-18,"2,180,351,413"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Mexico,Sep-18,"2,086,204,454"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Mexico,Oct-18,"2,363,671,008"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Mexico,Nov-18,"2,133,045,904"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Mexico,Dec-18,"1,750,423,582"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Mexico,2019,"25,262,791,557"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Mexico,Jan-19,"1,987,432,370"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Mexico,Feb-19,"2,014,734,375"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Mexico,Mar-19,"2,209,932,738"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Mexico,Apr-19,"2,089,084,886"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Mexico,May-19,"2,227,651,601"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Mexico,Jun-19,"2,049,121,223"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Mexico,Jul-19,"2,099,829,698"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Mexico,Aug-19,"2,391,422,243"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Mexico,Sep-19,"2,158,297,634"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Mexico,Oct-19,"2,071,209,830"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Mexico,Nov-19,"2,184,108,535"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Mexico,Dec-19,"1,779,966,424"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Mexico,2020,"22,100,584,085"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Mexico,Jan-20,"2,141,442,022"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Mexico,Feb-20,"2,251,976,133"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Mexico,Mar-20,"1,910,579,863"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Mexico,Apr-20,"227,042,170"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Mexico,May-20,"392,000,333"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Mexico,Jun-20,"1,653,842,261"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Mexico,Jul-20,"2,145,486,357"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Mexico,Aug-20,"2,287,913,927"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Mexico,Sep-20,"2,305,141,465"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Mexico,Oct-20,"2,499,790,191"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Mexico,Nov-20,"2,298,097,372"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Mexico,Dec-20,"1,987,271,991"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Mexico,2021,"25,703,697,436"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Mexico,Jan-21,"2,103,559,755"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Mexico,Feb-21,"2,039,990,669"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Mexico,Mar-21,"2,508,950,101"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Mexico,Apr-21,"2,123,793,888"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Mexico,May-21,"2,071,779,851"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Mexico,Jun-21,"2,079,329,117"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Mexico,Jul-21,"2,066,041,757"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Mexico,Aug-21,"2,250,373,163"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Mexico,Sep-21,"2,035,662,972"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Mexico,Oct-21,"2,235,775,186"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Mexico,Nov-21,"2,183,629,001"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Mexico,Dec-21,"2,004,811,976"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Mexico,2022,"30,635,300,413"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Mexico,Jan-22,"2,162,601,640"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Mexico,Feb-22,"2,289,447,509"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Mexico,Mar-22,"2,780,432,121"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Mexico,Apr-22,"2,399,442,917"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Mexico,May-22,"2,675,401,656"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Mexico,Jun-22,"2,511,833,218"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Mexico,Jul-22,"2,439,279,334"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Mexico,Aug-22,"2,864,508,066"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Mexico,Sep-22,"2,745,826,472"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Mexico,Oct-22,"2,823,261,901"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Mexico,Nov-22,"2,558,474,090"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Mexico,Dec-22,"2,384,791,489"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Mexico,2023,"34,452,739,697"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Mexico,Jan-23,"2,669,734,697"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Mexico,Feb-23,"2,629,938,588"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Mexico,Mar-23,"3,066,666,479"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Mexico,Apr-23,"2,806,929,653"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Mexico,May-23,"3,069,472,504"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Mexico,Jun-23,"2,867,835,726"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Mexico,Jul-23,"2,839,244,807"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Mexico,Aug-23,"3,239,223,108"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Mexico,Sep-23,"2,980,802,419"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Mexico,Oct-23,"2,974,040,025"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Mexico,Nov-23,"2,763,437,762"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Mexico,Dec-23,"2,545,413,929"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Mexico,2024,"36,144,011,328"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Mexico,Jan-24,"2,788,512,044"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Mexico,Feb-24,"3,047,084,113"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Mexico,Mar-24,"3,210,782,484"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Mexico,Apr-24,"3,297,161,235"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Mexico,May-24,"3,203,814,865"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Mexico,Jun-24,"2,889,065,196"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Mexico,Jul-24,"2,924,581,558"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Mexico,Aug-24,"3,267,039,398"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Mexico,Sep-24,"3,048,782,972"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Mexico,Oct-24,"3,236,079,727"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Mexico,Nov-24,"2,968,458,790"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Mexico,Dec-24,"2,262,648,946"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Mexico,2025 through August,"23,688,109,913"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Mexico,Jan-25,"2,742,067,198"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Mexico,Feb-25,"2,858,755,318"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Mexico,Mar-25,"3,123,036,218"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Mexico,Apr-25,"3,007,134,075"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Mexico,May-25,"2,999,350,645"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Mexico,Jun-25,"2,861,308,869"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Mexico,Jul-25,"2,909,009,923"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Mexico,Aug-25,"3,187,447,667"
8708 Parts & Access For Motor Vehicles (head 8701-8705),USMCA - U.S.-Mexico-Canada Agreement,2015,"31,019,938,218"
8708 Parts & Access For Motor Vehicles (head 8701-8705),USMCA - U.S.-Mexico-Canada Agreement,Jan-15,"2,157,966,536"
8708 Parts & Access For Motor Vehicles (head 8701-8705),USMCA - U.S.-Mexico-Canada Agreement,Feb-15,"2,367,387,182"
8708 Parts & Access For Motor Vehicles (head 8701-8705),USMCA - U.S.-Mexico-Canada Agreement,Mar-15,"2,734,281,562"
8708 Parts & Access For Motor Vehicles (head 8701-8705),USMCA - U.S.-Mexico-Canada Agreement,Apr-15,"2,620,615,704"
8708 Parts & Access For Motor Vehicles (head 8701-8705),USMCA - U.S.-Mexico-Canada Agreement,May-15,"2,603,156,321"
8708 Parts & Access For Motor Vehicles (head 8701-8705),USMCA - U.S.-Mexico-Canada Agreement,Jun-15,"3,034,033,524"
8708 Parts & Access For Motor Vehicles (head 8701-8705),USMCA - U.S.-Mexico-Canada Agreement,Jul-15,"2,490,497,673"
8708 Parts & Access For Motor Vehicles (head 8701-8705),USMCA - U.S.-Mexico-Canada Agreement,Aug-15,"2,671,288,492"
8708 Parts & Access For Motor Vehicles (head 8701-8705),USMCA - U.S.-Mexico-Canada Agreement,Sep-15,"2,669,300,274"
8708 Parts & Access For Motor Vehicles (head 8701-8705),USMCA - U.S.-Mexico-Canada Agreement,Oct-15,"2,863,555,358"
8708 Parts & Access For Motor Vehicles (head 8701-8705),USMCA - U.S.-Mexico-Canada Agreement,Nov-15,"2,552,416,952"
8708 Parts & Access For Motor Vehicles (head 8701-8705),USMCA - U.S.-Mexico-Canada Agreement,Dec-15,"2,255,438,640"
8708 Parts & Access For Motor Vehicles (head 8701-8705),USMCA - U.S.-Mexico-Canada Agreement,2016,"31,421,474,041"
8708 Parts & Access For Motor Vehicles (head 8701-8705),USMCA - U.S.-Mexico-Canada Agreement,Jan-16,"2,429,785,983"
8708 Parts & Access For Motor Vehicles (head 8701-8705),USMCA - U.S.-Mexico-Canada Agreement,Feb-16,"2,613,117,791"
8708 Parts & Access For Motor Vehicles (head 8701-8705),USMCA - U.S.-Mexico-Canada Agreement,Mar-16,"2,710,705,481"
8708 Parts & Access For Motor Vehicles (head 8701-8705),USMCA - U.S.-Mexico-Canada Agreement,Apr-16,"2,749,934,917"
8708 Parts & Access For Motor Vehicles (head 8701-8705),USMCA - U.S.-Mexico-Canada Agreement,May-16,"2,655,198,709"
8708 Parts & Access For Motor Vehicles (head 8701-8705),USMCA - U.S.-Mexico-Canada Agreement,Jun-16,"2,712,232,964"
8708 Parts & Access For Motor Vehicles (head 8701-8705),USMCA - U.S.-Mexico-Canada Agreement,Jul-16,"2,211,861,406"
8708 Parts & Access For Motor Vehicles (head 8701-8705),USMCA - U.S.-Mexico-Canada Agreement,Aug-16,"2,853,285,207"
8708 Parts & Access For Motor Vehicles (head 8701-8705),USMCA - U.S.-Mexico-Canada Agreement,Sep-16,"2,711,466,333"
8708 Parts & Access For Motor Vehicles (head 8701-8705),USMCA - U.S.-Mexico-Canada Agreement,Oct-16,"2,800,401,398"
8708 Parts & Access For Motor Vehicles (head 8701-8705),USMCA - U.S.-Mexico-Canada Agreement,Nov-16,"2,653,163,260"
8708 Parts & Access For Motor Vehicles (head 8701-8705),USMCA - U.S.-Mexico-Canada Agreement,Dec-16,"2,320,320,592"
8708 Parts & Access For Motor Vehicles (head 8701-8705),USMCA - U.S.-Mexico-Canada Agreement,2017,"31,264,825,317"
8708 Parts & Access For Motor Vehicles (head 8701-8705),USMCA - U.S.-Mexico-Canada Agreement,Jan-17,"2,519,960,128"
8708 Parts & Access For Motor Vehicles (head 8701-8705),USMCA - U.S.-Mexico-Canada Agreement,Feb-17,"2,552,181,991"
8708 Parts & Access For Motor Vehicles (head 8701-8705),USMCA - U.S.-Mexico-Canada Agreement,Mar-17,"2,891,653,569"
8708 Parts & Access For Motor Vehicles (head 8701-8705),USMCA - U.S.-Mexico-Canada Agreement,Apr-17,"2,579,696,394"
8708 Parts & Access For Motor Vehicles (head 8701-8705),USMCA - U.S.-Mexico-Canada Agreement,May-17,"2,735,746,975"
8708 Parts & Access For Motor Vehicles (head 8701-8705),USMCA - U.S.-Mexico-Canada Agreement,Jun-17,"2,640,520,348"
8708 Parts & Access For Motor Vehicles (head 8701-8705),USMCA - U.S.-Mexico-Canada Agreement,Jul-17,"2,241,304,091"
