Standard Report - Imports,,,
Current date: 11/21/2025 5:25 PM (Eastern Standard Time),,,
Measures: Customs Value (Gen) ($US),,,
Commodity,Country,Time,Customs Value (Gen) ($US)
8708 Parts & Access For Motor Vehicles (head 8701-8705),Brazil,Mar-20,"21,508,355"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Brazil,Apr-20,"18,671,050"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Brazil,May-20,"10,565,939"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Brazil,Jun-20,"9,150,562"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Brazil,Jul-20,"14,824,780"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Brazil,Aug-20,"19,641,831"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Brazil,Sep-20,"19,629,124"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Brazil,Oct-20,"21,745,221"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Brazil,Nov-20,"23,426,606"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Brazil,Dec-20,"22,269,973"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Brazil,2021,"266,266,202"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Brazil,Jan-21,"20,425,602"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Brazil,Feb-21,"20,895,654"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Brazil,Mar-21,"22,207,826"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Brazil,Apr-21,"22,906,989"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Brazil,May-21,"22,585,388"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Brazil,Jun-21,"21,614,456"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Brazil,Jul-21,"23,258,929"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Brazil,Aug-21,"18,797,819"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Brazil,Sep-21,"19,773,605"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Brazil,Oct-21,"21,457,992"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Brazil,Nov-21,"26,950,546"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Brazil,Dec-21,"25,391,396"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Brazil,2022,"294,234,036"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Brazil,Jan-22,"22,178,811"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Brazil,Feb-22,"17,734,895"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Brazil,Mar-22,"19,843,060"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Brazil,Apr-22,"23,100,039"
