country,tariff_period,avg_imports,baseline,pct_change
Canada,Pre-Tariff (2015-2017),24252.508764055554,24252.508764055554,0
Canada,Targeted Tariffs (2018-2024),30140.218120416666,24252.508764055554,24.276702314142604
Canada,Universal Tariffs (2025),32475.001706125,24252.508764055554,33.90367991230638
China,Pre-Tariff (2015-2017),40299.63180622222,40299.63180622222,0
China,Targeted Tariffs (2018-2024),39603.290362261905,40299.63180622222,-1.7279101886305583
China,Universal Tariffs (2025),27377.854742125,40299.63180622222,-32.064255887573914
Mexico,Pre-Tariff (2015-2017),25072.240893888888,25072.240893888888,0
Mexico,Targeted Tariffs (2018-2024),33765.07013055952,25072.240893888888,34.671130009720926
Mexico,Universal Tariffs (2025),44361.867572125004,25072.240893888888,76.93618914988079
