country,tariff_period,n_obs,mean_imports,sd_imports,min_imports,max_imports
Canada,Pre-Tariff (2015-2017),36,24252.508764055554,1361.521699813392,21608.554179,27352.21113
Canada,Targeted Tariffs (2018-2024),84,30140.218120416666,5408.910404534968,14936.992515,41003.98085
Canada,Universal Tariffs (2025),8,32475.001706125,3431.25043198617,29403.96792,38338.463539
China,Pre-Tariff (2015-2017),36,40299.63180622222,4531.369625781111,29812.326908,48133.149629
China,Targeted Tariffs (2018-2024),84,39603.290362261905,6152.024844414638,19638.123468,52081.070497
China,Universal Tariffs (2025),8,27377.854742125,7110.853746963286,18948.674201,41639.17075
Mexico,Pre-Tariff (2015-2017),36,25072.240893888888,1629.1151607550314,22261.08611,28572.107216
Mexico,Targeted Tariffs (2018-2024),84,33765.07013055952,6184.232858756409,14857.386976,45483.34594
Mexico,Universal Tariffs (2025),8,44361.867572125004,2382.693888281138,41638.739522,47981.831804
