Standard Report - Imports,,,
Current date: 11/21/2025 7:43 PM (Eastern Standard Time),,,
Measures: Customs Value (Gen) ($US),,,
Commodity,Country,Time,Customs Value (Gen) ($US)
"8418 Refrigerators, Freezers Etc; Heat Pumps Nesoi, Pts",Canada,Nov-18,"18,997,256"
"8418 Refrigerators, Freezers Etc; Heat Pumps Nesoi, Pts",Canada,Dec-18,"23,260,760"
"8418 Refrigerators, Freezers Etc; Heat Pumps Nesoi, Pts",Canada,2019,"314,016,681"
"8418 Refrigerators, Freezers Etc; Heat Pumps Nesoi, Pts",Canada,Jan-19,"25,454,254"
"8418 Refrigerators, Freezers Etc; Heat Pumps Nesoi, Pts",Canada,Feb-19,"24,128,918"
"8418 Refrigerators, Freezers Etc; Heat Pumps Nesoi, Pts",Canada,Mar-19,"33,280,219"
"8418 Refrigerators, Freezers Etc; Heat Pumps Nesoi, Pts",Canada,Apr-19,"21,916,129"
"8418 Refrigerators, Freezers Etc; Heat Pumps Nesoi, Pts",Canada,May-19,"33,292,939"
"8418 Refrigerators, Freezers Etc; Heat Pumps Nesoi, Pts",Canada,Jun-19,"33,018,605"
"8418 Refrigerators, Freezers Etc; Heat Pumps Nesoi, Pts",Canada,Jul-19,"26,686,395"
"8418 Refrigerators, Freezers Etc; Heat Pumps Nesoi, Pts",Canada,Aug-19,"26,164,919"
"8418 Refrigerators, Freezers Etc; Heat Pumps Nesoi, Pts",Canada,Sep-19,"26,181,774"
"8418 Refrigerators, Freezers Etc; Heat Pumps Nesoi, Pts",Canada,Oct-19,"24,491,780"
"8418 Refrigerators, Freezers Etc; Heat Pumps Nesoi, Pts",Canada,Nov-19,"20,392,827"
"8418 Refrigerators, Freezers Etc; Heat Pumps Nesoi, Pts",Canada,Dec-19,"19,007,922"
"8418 Refrigerators, Freezers Etc; Heat Pumps Nesoi, Pts",Canada,2020,"303,513,720"
"8418 Refrigerators, Freezers Etc; Heat Pumps Nesoi, Pts",Canada,Jan-20,"27,222,034"
"8418 Refrigerators, Freezers Etc; Heat Pumps Nesoi, Pts",Canada,Feb-20,"29,568,242"
"8418 Refrigerators, Freezers Etc; Heat Pumps Nesoi, Pts",Canada,Mar-20,"33,573,184"
"8418 Refrigerators, Freezers Etc; Heat Pumps Nesoi, Pts",Canada,Apr-20,"19,709,503"
"8418 Refrigerators, Freezers Etc; Heat Pumps Nesoi, Pts",Canada,May-20,"21,056,259"
"8418 Refrigerators, Freezers Etc; Heat Pumps Nesoi, Pts",Canada,Jun-20,"32,764,669"
"8418 Refrigerators, Freezers Etc; Heat Pumps Nesoi, Pts",Canada,Jul-20,"26,344,358"
"8418 Refrigerators, Freezers Etc; Heat Pumps Nesoi, Pts",Canada,Aug-20,"24,616,207"
"8418 Refrigerators, Freezers Etc; Heat Pumps Nesoi, Pts",Canada,Sep-20,"22,896,092"
"8418 Refrigerators, Freezers Etc; Heat Pumps Nesoi, Pts",Canada,Oct-20,"23,041,837"
"8418 Refrigerators, Freezers Etc; Heat Pumps Nesoi, Pts",Canada,Nov-20,"25,721,025"
"8418 Refrigerators, Freezers Etc; Heat Pumps Nesoi, Pts",Canada,Dec-20,"17,000,310"
"8418 Refrigerators, Freezers Etc; Heat Pumps Nesoi, Pts",Canada,2021,"350,580,415"
"8418 Refrigerators, Freezers Etc; Heat Pumps Nesoi, Pts",Canada,Jan-21,"21,600,547"
"8418 Refrigerators, Freezers Etc; Heat Pumps Nesoi, Pts",Canada,Feb-21,"24,120,333"
"8418 Refrigerators, Freezers Etc; Heat Pumps Nesoi, Pts",Canada,Mar-21,"32,199,468"
"8418 Refrigerators, Freezers Etc; Heat Pumps Nesoi, Pts",Canada,Apr-21,"28,066,420"
"8418 Refrigerators, Freezers Etc; Heat Pumps Nesoi, Pts",Canada,May-21,"28,602,147"
"8418 Refrigerators, Freezers Etc; Heat Pumps Nesoi, Pts",Canada,Jun-21,"24,583,203"
"8418 Refrigerators, Freezers Etc; Heat Pumps Nesoi, Pts",Canada,Jul-21,"35,761,455"
"8418 Refrigerators, Freezers Etc; Heat Pumps Nesoi, Pts",Canada,Aug-21,"29,563,621"
"8418 Refrigerators, Freezers Etc; Heat Pumps Nesoi, Pts",Canada,Sep-21,"34,044,050"
"8418 Refrigerators, Freezers Etc; Heat Pumps Nesoi, Pts",Canada,Oct-21,"30,329,836"
"8418 Refrigerators, Freezers Etc; Heat Pumps Nesoi, Pts",Canada,Nov-21,"32,064,978"
"8418 Refrigerators, Freezers Etc; Heat Pumps Nesoi, Pts",Canada,Dec-21,"29,644,357"
"8418 Refrigerators, Freezers Etc; Heat Pumps Nesoi, Pts",Canada,2022,"493,859,332"
"8418 Refrigerators, Freezers Etc; Heat Pumps Nesoi, Pts",Canada,Jan-22,"32,168,139"
"8418 Refrigerators, Freezers Etc; Heat Pumps Nesoi, Pts",Canada,Feb-22,"36,001,024"
"8418 Refrigerators, Freezers Etc; Heat Pumps Nesoi, Pts",Canada,Mar-22,"39,451,608"
"8418 Refrigerators, Freezers Etc; Heat Pumps Nesoi, Pts",Canada,Apr-22,"45,346,292"
"8418 Refrigerators, Freezers Etc; Heat Pumps Nesoi, Pts",Canada,May-22,"42,311,940"
"8418 Refrigerators, Freezers Etc; Heat Pumps Nesoi, Pts",Canada,Jun-22,"46,068,066"
"8418 Refrigerators, Freezers Etc; Heat Pumps Nesoi, Pts",Canada,Jul-22,"33,620,081"
"8418 Refrigerators, Freezers Etc; Heat Pumps Nesoi, Pts",Canada,Aug-22,"36,798,832"
"8418 Refrigerators, Freezers Etc; Heat Pumps Nesoi, Pts",Canada,Sep-22,"39,132,612"
"8418 Refrigerators, Freezers Etc; Heat Pumps Nesoi, Pts",Canada,Oct-22,"56,057,618"
"8418 Refrigerators, Freezers Etc; Heat Pumps Nesoi, Pts",Canada,Nov-22,"45,250,682"
"8418 Refrigerators, Freezers Etc; Heat Pumps Nesoi, Pts",Canada,Dec-22,"41,652,438"
"8418 Refrigerators, Freezers Etc; Heat Pumps Nesoi, Pts",Canada,2023,"518,455,550"
"8418 Refrigerators, Freezers Etc; Heat Pumps Nesoi, Pts",Canada,Jan-23,"43,492,732"
"8418 Refrigerators, Freezers Etc; Heat Pumps Nesoi, Pts",Canada,Feb-23,"50,849,955"
"8418 Refrigerators, Freezers Etc; Heat Pumps Nesoi, Pts",Canada,Mar-23,"47,784,231"
"8418 Refrigerators, Freezers Etc; Heat Pumps Nesoi, Pts",Canada,Apr-23,"43,148,934"
"8418 Refrigerators, Freezers Etc; Heat Pumps Nesoi, Pts",Canada,May-23,"50,669,856"
"8418 Refrigerators, Freezers Etc; Heat Pumps Nesoi, Pts",Canada,Jun-23,"49,596,828"
"8418 Refrigerators, Freezers Etc; Heat Pumps Nesoi, Pts",Canada,Jul-23,"41,209,774"
"8418 Refrigerators, Freezers Etc; Heat Pumps Nesoi, Pts",Canada,Aug-23,"34,915,166"
"8418 Refrigerators, Freezers Etc; Heat Pumps Nesoi, Pts",Canada,Sep-23,"43,622,166"
"8418 Refrigerators, Freezers Etc; Heat Pumps Nesoi, Pts",Canada,Oct-23,"45,200,766"
"8418 Refrigerators, Freezers Etc; Heat Pumps Nesoi, Pts",Canada,Nov-23,"33,726,734"
"8418 Refrigerators, Freezers Etc; Heat Pumps Nesoi, Pts",Canada,Dec-23,"34,238,408"
"8418 Refrigerators, Freezers Etc; Heat Pumps Nesoi, Pts",Canada,2024,"533,854,338"
"8418 Refrigerators, Freezers Etc; Heat Pumps Nesoi, Pts",Canada,Jan-24,"39,248,286"
"8418 Refrigerators, Freezers Etc; Heat Pumps Nesoi, Pts",Canada,Feb-24,"38,394,188"
"8418 Refrigerators, Freezers Etc; Heat Pumps Nesoi, Pts",Canada,Mar-24,"41,763,240"
"8418 Refrigerators, Freezers Etc; Heat Pumps Nesoi, Pts",Canada,Apr-24,"33,300,187"
"8418 Refrigerators, Freezers Etc; Heat Pumps Nesoi, Pts",Canada,May-24,"46,317,640"
"8418 Refrigerators, Freezers Etc; Heat Pumps Nesoi, Pts",Canada,Jun-24,"48,501,047"
"8418 Refrigerators, Freezers Etc; Heat Pumps Nesoi, Pts",Canada,Jul-24,"51,122,460"
"8418 Refrigerators, Freezers Etc; Heat Pumps Nesoi, Pts",Canada,Aug-24,"42,158,492"
"8418 Refrigerators, Freezers Etc; Heat Pumps Nesoi, Pts",Canada,Sep-24,"41,402,202"
"8418 Refrigerators, Freezers Etc; Heat Pumps Nesoi, Pts",Canada,Oct-24,"56,188,340"
"8418 Refrigerators, Freezers Etc; Heat Pumps Nesoi, Pts",Canada,Nov-24,"49,769,650"
"8418 Refrigerators, Freezers Etc; Heat Pumps Nesoi, Pts",Canada,Dec-24,"45,688,606"
"8418 Refrigerators, Freezers Etc; Heat Pumps Nesoi, Pts",Canada,2025 through August,"366,702,970"
"8418 Refrigerators, Freezers Etc; Heat Pumps Nesoi, Pts",Canada,Jan-25,"35,708,486"
